AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,ModifiedDate
281,7985 Center Street,,Renton,79,98055,2008-12-21 00:00:00
282,5980 Icicle Circle,Unit H,Renton,79,98055,2010-01-16 00:00:00
283,1378 String Dr,,Renton,79,98055,2010-01-20 00:00:00
284,9495 Limewood Place,,Renton,79,98055,2009-02-21 00:00:00
285,2598 Breck Court,,Renton,79,98055,2009-11-25 00:00:00
286,5670 Bel Air Dr.,,Renton,79,98055,2013-12-16 00:00:00
287,7165 Brock Lane,,Renton,79,98055,2011-01-11 00:00:00
288,2736 Scramble Rd,,Renton,79,98055,2008-11-30 00:00:00
289,2266 Greenwood Circle,,Renton,79,98055,2010-02-26 00:00:00
290,5297 Algiers Drive,,Renton,79,98055,2014-05-27 00:00:00
291,9533 Working Drive,,Renton,79,98055,2009-12-14 00:00:00
292,1803 Olive Hill,,Renton,79,98055,2009-01-26 00:00:00
293,7559 Worth Ct.,,Renton,79,98055,2008-01-24 00:00:00
294,3770 Viewpoint Ct,,Renton,79,98055,2013-08-04 00:00:00
295,6510 Hacienda Drive,,Renton,79,98055,2010-12-23 00:00:00
296,6937 E. 42nd Street,,Renton,79,98055,2009-01-24 00:00:00
297,7943 Walnut Ave,,Renton,79,98055,2012-06-30 00:00:00
298,2176 Brown Street,,Renton,79,98055,2009-02-19 00:00:00
299,4312 Cambridge Drive,,Renton,79,98055,2009-01-13 00:00:00
300,5009 Orange Street,,Renton,79,98055,2012-04-09 00:00:00
833,3207 S Grady Way,,Renton,79,98055,2012-06-30 00:00:00
854,490 Ne 4th St,,Renton,79,98055,2013-06-30 00:00:00
864,67 Rainer Ave S,,Renton,79,98055,2011-07-01 00:00:00
11814,386 Woodpine,,Renton,79,98055,2014-03-19 00:00:00
11850,8422 W. Holly Drive,,Renton,79,98055,2013-08-22 00:00:00
11916,512 Palms Dr,,Renton,79,98055,2014-05-08 00:00:00
11971,5979 Lynwood Drive,,Renton,79,98055,2013-09-08 00:00:00
12120,7650 Bonita Ave.,,Renton,79,98055,2013-10-15 00:00:00
12174,7106 Cynthia Drive,,Renton,79,98055,2013-12-30 00:00:00
12437,9695 Notre Dame Avenue,,Renton,79,98055,2012-04-11 00:00:00
12682,3884 Beauty Street,,Renton,79,98055,2011-07-13 00:00:00
12745,1285 Greenbrier Street,,Renton,79,98055,2013-11-15 00:00:00
12959,2431 Keith Court,,Renton,79,98055,2013-05-14 00:00:00
13050,5091 Laurel Dr.,,Renton,79,98055,2013-08-26 00:00:00
13527,9507 San Vicente Dr,,Renton,79,98055,2013-11-21 00:00:00
13556,5483 Cornwall Court,,Renton,79,98055,2014-03-14 00:00:00
13643,2913 Mountain Spring Road,,Renton,79,98055,2014-01-20 00:00:00
13920,3994 Pinecrest Court,,Renton,79,98055,2013-08-06 00:00:00
14189,2317 Glen Road,,Renton,79,98055,2013-06-10 00:00:00
14418,6985 Countrywood Ct,,Renton,79,98055,2014-01-24 00:00:00
14419,8480 Zebra Street,,Renton,79,98055,2012-04-23 00:00:00
14440,2499 Greendell Pl,,Renton,79,98055,2012-09-01 00:00:00
14473,8382 Cinnabar St,,Renton,79,98055,2013-12-17 00:00:00
14723,6946 Ridge Circle,,Renton,79,98055,2013-11-13 00:00:00
14774,7188 Viewpoint Ct,,Renton,79,98055,2014-03-28 00:00:00
