AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,ModifiedDate
23,6657 Sand Pointe Lane,,Seattle,79,98104,2009-01-15 00:00:00
91,7166 Brock Lane,,Seattle,79,98104,2008-12-15 00:00:00
92,7126 Ending Ct.,,Seattle,79,98104,2007-12-19 00:00:00
93,4598 Manila Avenue,,Seattle,79,98104,2010-01-29 00:00:00
94,5666 Hazelnut Lane,,Seattle,79,98104,2009-02-24 00:00:00
95,1220 Bradford Way,,Seattle,79,98104,2008-12-08 00:00:00
96,5375 Clearland Circle,,Seattle,79,98104,2009-01-04 00:00:00
97,2639 Anchor Court,,Seattle,79,98104,2014-02-07 00:00:00
98,502 Alexander Pl.,,Seattle,79,98104,2009-01-25 00:00:00
99,5802 Ampersand Drive,,Seattle,79,98104,2008-12-31 00:00:00
100,5125 Cotton Ct.,,Seattle,79,98104,2009-02-03 00:00:00
101,3243 Buckingham Dr.,# 207,Seattle,79,98104,2009-02-15 00:00:00
102,3029 Pastime Dr,# 2,Seattle,79,98104,2009-01-04 00:00:00
103,9537 Ridgewood Drive,,Seattle,79,98104,2010-02-05 00:00:00
104,9964 North Ridge Drive,,Seattle,79,98104,2009-01-29 00:00:00
105,1619 Stillman Court,,Seattle,79,98104,2008-12-19 00:00:00
106,2144 San Rafael,,Seattle,79,98104,2009-01-05 00:00:00
107,7403 N. Broadway,,Seattle,79,98104,2009-01-01 00:00:00
108,7842 Ygnacio Valley Road,,Seattle,79,98104,2008-12-10 00:00:00
109,874 Olivera Road,,Seattle,79,98104,2010-02-24 00:00:00
110,1064 Slow Creek Road,,Seattle,79,98104,2008-12-08 00:00:00
111,77 Birchwood,,Seattle,79,98104,2009-01-27 00:00:00
112,7765 Sunsine Drive,,Seattle,79,98104,2009-02-19 00:00:00
113,1102 Ravenwood,,Seattle,79,98104,2009-12-15 00:00:00
114,1398 Yorba Linda,,Seattle,79,98104,2009-02-08 00:00:00
115,4948 West 4th St,,Seattle,79,98104,2009-02-13 00:00:00
116,8290 Margaret Ct.,,Seattle,79,98104,2009-01-10 00:00:00
117,426 San Rafael,,Seattle,79,98104,2009-02-08 00:00:00
118,136 Balboa Court,,Seattle,79,98104,2008-12-25 00:00:00
119,7439 Laguna Niguel,,Seattle,79,98104,2008-11-28 00:00:00
120,6498 Mining Rd.,,Seattle,79,98104,2009-02-08 00:00:00
121,6578 Woodhaven Ln.,,Seattle,79,98104,2008-11-26 00:00:00
122,2354 Frame Ln.,,Seattle,79,98104,2009-12-18 00:00:00
123,6843 San Simeon Dr.,,Seattle,79,98104,2009-01-26 00:00:00
124,7616 Honey Court,,Seattle,79,98104,2008-12-05 00:00:00
125,931 Corte De Luna,,Seattle,79,98104,2008-12-08 00:00:00
126,7594 Alexander Pl.,,Seattle,79,98104,2008-12-10 00:00:00
127,7127 Los Gatos Court,,Seattle,79,98104,2008-11-29 00:00:00
128,8656 Lakespring Place,,Seattle,79,98104,2010-01-05 00:00:00
129,5025 Holiday Hills,,Seattle,79,98104,2008-12-26 00:00:00
130,5376 Catanzaro Way,,Seattle,79,98104,2009-02-25 00:00:00
832,2251 Elliot Avenue,,Seattle,79,98104,2011-07-01 00:00:00
849,4251 First Avenue,,Seattle,79,98104,2011-05-31 00:00:00
859,1050 Oak Street,,Seattle,79,98104,2012-06-30 00:00:00
876,765 Delridge Way Sw,,Seattle,79,98104,2011-05-31 00:00:00
11385,9 Olive Way,,Seattle,79,98104,2013-11-13 00:00:00
11560,8368 Birchwood,,Seattle,79,98104,2013-09-17 00:00:00
11898,9697 Central Ave,,Seattle,79,98104,2014-04-22 00:00:00
12160,5651 San Benito Drive,,Seattle,79,98104,2013-09-07 00:00:00
12304,8629 Pepper Place,,Seattle,79,98104,2013-08-05 00:00:00
12399,517 South St.,,Seattle,79,98104,2014-06-07 00:00:00
12452,418 Alfred Avenue,,Seattle,79,98104,2012-02-21 00:00:00
12744,9535 Pear Dr.,,Seattle,79,98104,2013-07-25 00:00:00
12758,6412 Clifford Court,,Seattle,79,98104,2013-08-12 00:00:00
13035,1887 Mt. Diablo St,,Seattle,79,98104,2014-01-05 00:00:00
13079,081, boulevard du Montparnasse,,Seattle,79,98104,2013-12-06 00:00:00
13230,7550 Carzino Ct,# 1,Seattle,79,98104,2013-09-04 00:00:00
13300,4576 Almond Street,,Seattle,79,98104,2014-03-28 00:00:00
13580,2030 Hill Drive,,Seattle,79,98104,2012-11-16 00:00:00
13595,3485 Sands,,Seattle,79,98104,2014-04-25 00:00:00
13598,4980 Olivera Rd,,Seattle,79,98104,2014-03-28 00:00:00
13901,9900 Clearbrook Drive,,Seattle,79,98104,2014-04-14 00:00:00
14457,6927 Ricardo Drive,,Seattle,79,98104,2014-04-29 00:00:00
14720,7159 Shell Circle,,Seattle,79,98104,2013-08-30 00:00:00
14835,4630 Adobe Dr,,Seattle,79,98104,2014-05-29 00:00:00
14922,6679 Cornelius Dr,,Seattle,79,98104,2012-02-19 00:00:00
15061,2370 Mac Court,,Seattle,79,98104,2014-02-03 00:00:00
15200,4286 NE 3rd Court,,Seattle,79,98104,2012-06-30 00:00:00
15367,2672 Pansy Dr.,,Seattle,79,98104,2014-01-03 00:00:00
15528,4823 Park Blvd.,,Seattle,79,98104,2014-02-13 00:00:00
15657,151 Book Ct,,Seattle,79,98104,2012-01-15 00:00:00
16269,7632 Willbrook Court,,Seattle,79,98104,2013-11-05 00:00:00
16392,1874 Orchid Ct,,Seattle,79,98104,2013-11-13 00:00:00
16409,6516 Beauer Lane,,Seattle,79,98104,2014-03-21 00:00:00
16434,962 Gonzalez Court,,Seattle,79,98104,2014-02-02 00:00:00
16558,2594 Breaker Dr,,Seattle,79,98104,2013-07-20 00:00:00
16686,486 11th,,Seattle,79,98104,2014-06-27 00:00:00
16716,5572 Running Springs Road,,Seattle,79,98104,2014-06-16 00:00:00
16719,3182 Glendale Ave,,Seattle,79,98104,2014-02-14 00:00:00
16840,6136 North 68th St,,Seattle,79,98104,2014-03-29 00:00:00
17019,4481 Ranch Road,,Seattle,79,98104,2014-04-21 00:00:00
17020,5976 Gumwood,,Seattle,79,98104,2013-03-02 00:00:00
17072,6473 Crown Court,,Seattle,79,98104,2013-11-26 00:00:00
17283,4663 Glenside Ct,,Seattle,79,98104,2013-11-23 00:00:00
17889,7449 Dover Way,,Seattle,79,98104,2014-01-01 00:00:00
17890,8945 Euclid Ave.,,Seattle,79,98104,2011-10-24 00:00:00
17899,9372 Colfax Street,#303,Seattle,79,98104,2013-10-24 00:00:00
17912,2964 Holbrook Dr,,Seattle,79,98104,2014-03-18 00:00:00
18002,1635 Carmel Dr,,Seattle,79,98104,2014-02-24 00:00:00
18053,1883 Green View Court,,Seattle,79,98104,2013-10-02 00:00:00
